Customer shall not produce any of ODP Business Solutions proprietary and confidential information without ODP Business Solutions prior written consent.  ,,,,,,,,
"Upon notice to ODP Business Solutions of any request for its confidential information, Customer shall allow ODP Business Solutions to determine, in its sole discretion, ",,,,,,,,
"the relevant material to disclose, if any.  Customer shall assume all of ODP Business Solutions information provided to Customer is confidential. ",,,,,,,,
,,,,,,,,
 5/3 ,,,,,,,,
"Reporting Period: May 1, 2022 - May 1, 2023",,,,,,,,
Depot Product Code,Product Description,Wholesaler Product Code,Primary Supplier Id,Primary Supplier Name,Merch Dept,Pack Qty,UOM,Qty Sold
3077412,CATRIDGE HIGH YIELD RETURN PRO,E360H41G,1069337,DISTRIBUTION MANAGEMENT INC,14-Inkjet cartridges,1,EA,1
308633,"CRTDG,DSNJT,HP727,PBK,300ML",F9J79A,3061,HP INC,14-Inkjet cartridges,1,EA,2
319055,"CARTRIDGE,LASERJET 4600,CYAN",C9721A,419894,HP INC,65-Toners/other imaging,1,EA,1
319099,"CARTRIDGE,LSRJET 4600,MAGENTA",C9723A,419894,HP INC,65-Toners/other imaging,1,EA,3
319209,"CARTRIDGE,LASERJET 4600,YELLOW",C9722A,419894,HP INC,65-Toners/other imaging,1,EA,2
319275,"CARTRIDGE,LASERJET 4600,BLACK",C9720A,419894,HP INC,65-Toners/other imaging,1,EA,2
320111,"INK,HP,PAGEWIDE,981A,BLACK",J3M71A,3061,HP INC,14-Inkjet cartridges,1,EA,133
320549,"INK,HP,EXTRA HY,981Y,CYAN",L0R13A,3061,HP INC,14-Inkjet cartridges,1,EA,201
323093,"INK,HP,64XL,OG,BLACK,CARTRIDGE",N9J92AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
327797,"HEWLETT PACKARD,952,CYAN",L0S49AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
328822,"TONER,F/M4555,HY MPS,BLACK",CE390XC,419894,HP INC,65-Toners/other imaging,1,EA,76
3293513,110V MNT KIT FOR LASERJET,8W0116,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,23
3334964,"TONER,HP,212X,HY,YLW",W2122X,419894,HP INC,65-Toners/other imaging,1,EA,13
342840,"TONER,HP,CF226XC,BLK",CF226XC,419894,HP INC,65-Toners/other imaging,1,EA,884
344724,"TONER,HP LJ CF033A,MAGENTA",DR9299,8765,INGRAM MICRO INC,65-Toners/other imaging,1,EA,6
344909,"DRUM,IMAGE,HP,828A,LJ,BLACK",CF358A,419894,HP INC,65-Toners/other imaging,1,EA,26
344918,"DRUM,HP,828A,LJ,CYAN",CF359A,419894,HP INC,65-Toners/other imaging,1,EA,27
344954,"DRUM,LJ,828A,HP,YELLOW",CF364A,419894,HP INC,65-Toners/other imaging,1,EA,26
344963,"DRUM,HP,828A,LJ,MAGENTA",TH3738,8765,INGRAM MICRO INC,65-Toners/other imaging,1,EA,26
353058,HP CE249A - printer transfer k,HEWCE249A,413395,SP RICHARDS,65-Toners/other imaging,1,EA,30
3555684,"TONER,HP,W2121XC,CNTRCT,CYN",W2121XC,419894,HP INC,65-Toners/other imaging,1,EA,16
357508,"CARTRIDGE,HP,LJ9000,STAPLE",C8091A,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
3601024,"INK,BROTHER,LC3037C,CYAN",BRTLC3037C,100,SP RICHARDS,14-Inkjet cartridges,1,EA,1
3655952,"TONER,HP,26A,BLACK,2PK",CF226A2PK-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,3
371094,"TONER,HP P3005,Q7551X,MICR,HY",MCR51XM,460088,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,6
3720558,"INK,BROTHER,LC30373PKS,CMY",LC30373PKS,1614,BROTHER INTL CORP,14-Inkjet cartridges,3,PK,4
374421,"INK,HP,PGWD,HIYLD,981X,CYAN",HEWL0R09A,100,SP RICHARDS,14-Inkjet cartridges,1,EA,23
374785,"TONER,HP CF281XC,HY,BLACK",CF281XC,419894,HP INC,65-Toners/other imaging,1,EA,133
379000,"Lexmark International, Inc E36",KW4819,8765,INGRAM MICRO INC,65-Toners/other imaging,1,EA,119
380433,"HEWLETT PACKARD,952XL,BLACK",F6U19AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,6
382399,"TONER,2035/2055 MICR SCR",1045408,1247105,A B DISTRIBUTING INC,65-Toners/other imaging,1,EA,3
385702,"TONER,HP 80A,BLACK",CF280A,3061,HP INC,65-Toners/other imaging,1,EA,1
391044,"RIBBON,EPSON,TM291,BLACK",EPSERC27B,100,SP RICHARDS,65-Toners/other imaging,1,EA,2277
3919316,"INK,CARTRIDGE,HP,910XL,BLACK",3YL65AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,2
392430,"TONER,HP CC364A,BLACK",CC364A,419894,HP INC,65-Toners/other imaging,1,EA,18
3965461,"INK,CARTRIDGE,HP,962,BLACK",3HZ99AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,4
399513,"INK,HP,PGWD,HIYLD,981X,YELLOW",HEWL0R11A,100,SP RICHARDS,14-Inkjet cartridges,1,EA,15
406351,"TONER,REMAN,OD09A,5SI,8000,5SI",OD09A,1005539,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,1
408459,"TONER,HP,LJ,655A,YELLOW",CF452A,419894,HP INC,65-Toners/other imaging,1,EA,202
410507,"INK.HP,728,130 ML,MAGENTA",3A4687,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,3
4146812,"TONER,HP,212A,4 CLR,CMYK",HP212ASET-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,4,PK,1
415612,HP 727 DESIGNJET PRINTHEAD,B3P06A,3061,HP INC,65-Toners/other imaging,1,EA,1
416413,"INK,HP,PAGEWIDE,981A,YELLOW",J3M70A,3061,HP INC,14-Inkjet cartridges,1,EA,4
416637,E260/E36X/E46X PRINT CARTRIDGE,E260A21A,6229,LEXMARK INTL INC,65-Toners/other imaging,1,EA,9
