 Money ,,,MFR PART NUMBER,Bullcrap,Column 3,Staples #,,MFR PART NUMBER,Ability One Flag,MFR NAME,DESCRIPTION,UPC,Do we like it
,20,,C6657AN,C6657AN,C6657AN#104,474821,C6657AN#104,HEWC6657AN,N,HP,HP 57 Tri-Color Standard Yield Ink Cartridge (C6657AN#104),725184712340,yes
,20,,IM13A1593,IM13A1593,F6U62AN#140,1611539,F6U62AN#140,IM13A1593,N,HP,HP 63 Black Standard Yield Ink Cartridge (F6U62AN#140),889296267409,no
,20,,IM16YE856,IM16YE856,W2113A,24422211,W2113A,IM16YE856,N,HP,HP 206A Magenta Standard Yield Toner Cartridge (W2113A),,yes
,20,,CF402A,CF402A,CF402A,2764684,CF402A,STCF402A,N,TRU RED,TRU RED™ Remanufactured Yellow Standard Yield Toner Cartridge Replacement for HP 201A (CF402A),718103284950,no
,20,,IM1YZ7047,IM1YZ7047,CF400A,1585358,CF400A,IM1YZ7047,N,HP,HP 201A Black Toner Cartridge (CF400A),,yes
,15,,IM14K9922,IM14K9922,T6M06AN#140,2140568,T6M06AN#140,IM14K9922,N,HP,"HP 902XL Magenta Ink Cartridge, High Yield (T6M06AN#140)",,yes
,15,,IM18CK487,IM18CK487,3YM58AN#140,24430101,3YM58AN#140,IM18CK487,N,HP,HP 67XL Tri-Color High Yield Ink Cartridge (3YM58AN#140),193015522411,yes
,15,,2949B001,2949B001,294,757280,294,CNM2949B001,N,"CANON USA, INC.",43172710,00013803094541,yes
,15,,IM12CM306,IM12CM306,,2724258,,IM12CM306,N,HP,"HP 64XL Black Original Ink Cartridge, High Yield",190780812006,no
,15,,CE321A,CE321A,CE321A,891405,CE321A,HEWCE321A,N,HP INC.                            ,"Recycled Extra Capacity Desktop File Holder, Letter Size, 8.5"" Long, Black",,yes
,15,,CF403A,CF403A,CF403A,1585360,CF403A,HEWCF403A,N,HP,"HP 201A Magenta Toner Cartridge, Standard Yield (CF403A)",888793237977,yes
,15,,CF400A,CF400A,CF400A,2764682,CF400A,STCF400A,N,TRU RED,TRU RED™ HP 201A (CF400A) Black Remanufactured Standard Yield Toner Cartridge,,yes
,14,,6449B001,6449B001,6449B001,117160,6449B001,CNM6449B001,N,CANON,"Canon CLI 251XL Cyan Ink Cartridge, High Yield (6449B001)",13803151398,yes
,10,,IM13A1592,IM13A1592,F6U61AN,1611540,F6U61AN,IM13A1592,N,HP,"HP 63 Tri-Color Ink Cartridge, Standard Yield (F6U61AN)",889296267393,yes
,10,,IM12U9735,IM12U9735,WN8M9,1689838,WN8M9,IM12U9735,N,DELL,"Dell G20VW Magenta Toner Cartridge, Standard (WN8M9)",,yes
,10,,IM17J9903,IM17J9903,N9K02AN#140,1990399,N9K02AN#140,IM17J9903,N,HP,HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140),889894900739,yes
,10,,106R02758,106R02758,,1582344,,XER106R02758,N,XEROX,"Xerox 106R02758 Yellow Toner Cartridge, Standard",95205862799,no
,10,,TN420,TN420,TN-420,400244,TN-420,STTN420,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Toner Cartridge Replacement for Brother TN420 (TN-420),,yes
,8,,CN048AN,CN048AN,CN048AN,1004268,CN048AN,STCN048AN,N,TRU RED,TRU RED™ HP 951XL (CN048AN) Yellow Remanufactured High Yield Ink Cartridge,718103217989,no
,8,,IM1LH1674,IM1LH1674,5204B001,642213,5204B001,IM1LH1674,N,CANON,Canon PG-240XXL Black Extra High Yield Ink Cartridge (5204B001),13803134940,no
,8,,IM16YE864,IM16YE864,W2313A,24422205,W2313A,IM16YE864,N,HEWLETT PACKARD,00073555185621,00193905265244,no
,7,,C2P05AN,C2P05AN,C2P05AN,2839034,C2P05AN,STC2P05AN,N,TRU RED,TRU RED™ Remanufactured Black High Yield Ink Cartridge Replacement for HP 62XL (C2P05AN),718103292382,yes
,5,,WM2JC,WM2JC,WM2JC,1053483,WM2JC,STWM2JC,N,TRU RED,TRU RED™ Remanufactured Yellow High Yield Toner Cartridge Replacement for Dell (WM2JC),,yes
,5,,CH562WN,CH562WN,CH562WN,954140,CH562WN,STCH562WN,N,TRU RED,TRU RED™ Remanufactured Tri-Color Standard Yield Ink Cartridge Replacement for HP 61 (CH562WN),718103183093,no
,5,,IM1VZ2602,IM1VZ2602,,1182803,,IM1VZ2602,N,HP,"HP 62XL Black Ink Cartridge, High Yield",888182992289,yes
,5,,IM12CB026,IM12CB026,,2796029,,IM12CB026,N,HP,HP 204A Cyan Original LaserJet Toner Cartridge,190781106937,no
,5,,106R02757,106R02757,,1582343,,XER106R02757,N,XEROX,"Xerox 106R02757 Magenta Toner Cartridge, Standard",95205862782,no
,5,,IM1DL8425,IM1DL8425,,889139,,IM1DL8425,N,BROTHER,"Brother TN-420 Black Toner Cartridge, Standard",,yes
,3,,CF283A,CF283A,CF283A,1929253,CF283A,STCF283A,N,TRU RED,TRU RED™ HP 83A (CF283A) Black Remanufactured Standard Yield Toner Cartridge,,no
,3,,CH561WNDS,CH561WNDS,CH561WN,2708436,CH561WN,STCH561WNDS,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Ink Cartridge Replacement for HP 61 (CH561WN),718103279697,no
,3,,6432B001,6432B001,643,117157,643,CNM6432B001,N,"CANON USA, INC.",44111905,00013803151343,no
,3,,IM16YE855,IM16YE855,W2112A,24422206,W2112A,IM16YE855,N,HP,HP 206A Yellow Standard Yield Toner Cartridge (W2112A),193905265077,no
,3,,IM1YZ7051,IM1YZ7051,CF402A,1585362,CF402A,IM1YZ7051,N,HP,"HP 201A Yellow Toner Cartridge, Standard Yield (CF402A)",888793237960,no
,3,,IM13R0061,IM13R0061,F6U15AN#140,2002723,F6U15AN#140,IM13R0061,N,HP,"HP 952 Black Ink Cartridge, Standard (F6U15AN#140)",889296858089,no
,1,,IM1LB1160,IM1LB1160,,364843,,IM1LB1160,N,HP,"HP 951 Magenta Ink Cartridge, Standard Yield",886111609659,yes
,1,,IM14K9923,IM14K9923,T6M10AN#140,2140567,T6M10AN#140,IM14K9923,N,HP,"HP 902XL Yellow Ink Cartridge, High Yield (T6M10AN#140)",889894982810,yes
,1,,IM1LB1156,IM1LB1156,,364830,,IM1LB1156,N,HP,"HP 951XL Magenta Ink Cartridge, High Yield",886111609703,yes
,1,,CN047AN,CN047AN,CN047AN,1004269,CN047AN,STCN047AN,N,TRU RED,TRU RED™ HP 951XL (CN047AN) Magenta Remanufactured High Yield Ink Cartridge,718103217972,no
,1,,IM1LB1157,IM1LB1157,,364832,,IM1LB1157,N,HP,"HP CN048AN#140 Yellow Ink Cartridge, High Yield",886111609710,no
,1,,IM1VZ2601,IM1VZ2601,,1182804,,IM1VZ2601,N,HP,"HP 62 Black Ink Cartridge, Standard Yield",888182992272,yes
,1,,C2P04AN,C2P04AN,C2P04AN,2839035,C2P04AN,STC2P04AN,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Ink Cartridge Replacement for HP 62 (C2P04AN),718103292375,no
,1,,IM18CK486,IM18CK486,3YM57AN#140,24430099,3YM57AN#140,IM18CK486,N,HP,HP 67XL Black High Yield Ink Cartridge (3YM57AN#140),193015522404,yes
,1,,6515B001,6515B001,6515B001,117165,6515B001,CNM6515B001,N,CANON,"Canon CLI 251 Magenta Ink Cartridge, Standard (6515B001)",13803151596,yes
,1,,IM1LH1675,IM1LH1675,5206B001,398500,5206B001,IM1LH1675,N,CANON,"Canon PG-240XL Black Ink Cartridge, High Yield (5206B001)",13803134957,no
,1,,C6656AN,C6656AN,C6656AN#140,491208,C6656AN#140,HEWC6656AN,N,HP,HP 56 Black Standard Yield Ink Cartridge (C6656AN#140),725184712326,no
,1,,2948B001,2948B001,29,757277,29,CNM2948B001,N,"CANON USA, INC.",43173610,00013803094534,no
